iter,round,variant_id,victim_idx,hot_keys,writers_per_key,payload_mib,kill_delay_s,read_rounds,settle_s,duration_s,exit_code,baseline_fail,hot_fail,cold_fail,reproduced_strict,reproduced_hot_any,raw_tail
11,1,v14,3,14,28,24,0.6,2,10,129.37,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
12,1,v13,0,16,32,12,0.6,2,10,138.16,0,0,3,0,1,1,    key 13:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.
13,1,v17,1,16,32,16,0.75,2,10,147.91,0,0,3,0,1,1,    key 15:   3\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.
14,1,v16,2,12,32,16,0.45,2,10,117.4,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
15,1,v02,3,12,32,16,0.6,2,10,117.94,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
16,1,v15,0,14,36,12,0.6,2,10,140.4,0,0,3,0,1,1,    key 10:   3\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.
17,1,v03,1,16,32,16,0.6,2,10,139.77,0,0,3,0,1,1,    key 13:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.
18,1,v18,2,14,32,24,0.45,2,10,132.33,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
19,1,v05,3,14,36,16,0.6,2,10,135.61,0,0,3,0,1,1,    key  9:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.
20,1,v20,0,14,32,16,0.6,1,12,142.98,0,0,3,0,1,1,    key 14:   3\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.
21,2,v13,1,16,32,12,0.6,2,10,141.34,0,0,3,0,1,1,    key 16:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.
22,2,v07,2,14,32,24,0.6,2,10,136.29,0,0,3,0,1,1,    key 11:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.
23,2,v10,3,12,28,16,0.6,2,10,115.03,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
24,2,v02,0,12,32,16,0.6,2,10,117.8,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
25,2,v09,1,14,32,16,0.75,2,10,127.35,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
26,2,v03,2,16,32,16,0.6,2,10,156.4,0,0,3,0,1,1,    key 11:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.
27,2,v08,3,14,32,16,0.45,2,10,138.32,0,0,3,0,1,1,    key  9:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.
28,2,v19,0,14,32,12,0.75,2,10,129.97,0,0,3,0,1,1,    key  8:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.
29,2,v01,1,14,32,16,0.6,2,10,125.64,0,0,0,0,0,0,"\n  --> bug NOT triggered this run (likely the slow-path waiters drained\n      before kill, or the victim's PUTs hadn't fanned out far enough).\n      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
30,2,v15,2,14,36,12,0.6,2,10,131.27,0,0,3,0,1,1,    key 14:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.
31,2,v17,3,16,32,16,0.75,2,10,141.85,0,0,3,0,1,1,    key  9:   1\n\n  --> bug REPRODUCED. Hot-key reads fail while the cold control set\n      is fine -- only the contended keys hold stale WRITERS_WAITING flags.\n\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.\nWarning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.
